이름,연도,이닝,ERA,FIP,WHIP,war,연봉
박상원,19  P,59.0,3.97,4.85,1.36,0.17,9000
전유수,19  P,66.1,3.39,3.37,1.27,0.15,6000
권오준,19  P,43.0,5.23,5.24,1.42,0.11,15000
김대우,19  P,59.2,5.13,5.42,1.29,0.11,12000
홍건희,19  P,81.2,7.16,5.33,1.78,0.09,5800
정성종,19  P,49.2,5.44,5.66,1.77,0.07,3700
이현호,19  P,40.1,5.13,4.28,1.74,0.01,4900
배재준,19  P,62.0,5.23,4.66,1.52,0.00,4500
신정락,19  P,44.2,5.84,5.32,1.54,-0.30,12000
최충연,18  P,85.0,3.6,3.2,1.16,3.39,4500
김태훈,18  P,94.0,3.83,4.04,1.32,2.81,4000
박상원,18  P,60.0,2.1,3.65,1.33,1.96,3100
김윤동,18  P,82.2,3.7,5.17,1.51,1.95,15000
장필준,18  P,66.1,4.34,4.04,1.36,1.91,14000
신재웅,18  P,52.0,2.77,5.15,1.48,1.68,11000
한승혁,18  P,88.0,5.83,5.27,1.69,1.39,6500
구승민,18  P,73.2,3.67,5.04,1.26,1.22,3400
임기준,18  P,56.0,3.54,5.26,1.46,1.19,6000
오현택,18  P,64.2,3.76,4.65,1.21,1.17,6000
박치국,18  P,67.0,3.63,3.97,1.42,1.06,3400
김재윤,18  P,61.0,4.57,4.4,1.49,0.92,11000
진명호,18  P,61.2,4.38,5.22,1.61,0.87,3300
김강률,18  P,76.0,4.62,3.84,1.26,0.80,15000
권오준,18  P,43.1,3.95,4.34,1.27,0.70,15000
최성영,18  P,64.1,5.88,5.56,1.41,0.67,2900
이보근,18  P,61.0,4.28,4.17,1.31,0.62,14000
류희운,18  P,44.0,4.91,6.86,1.52,0.53,4000
김승회,18  P,54.2,3.46,5.69,1.41,0.51,10000
심재민,18  P,41.0,4.61,4.96,1.56,0.50,8000
정수민,18  P,58.0,6.05,6.68,1.76,0.46,4200
홍성용,18  P,45.0,5.4,5.31,1.44,0.41,6800
김사율,18  P,45.1,5.76,6.39,1.46,0.41,15000
이형범,18  P,54.0,5.17,5.75,1.59,0.35,3500
서진용,18  P,50.0,6.12,6.21,1.5,0.30,6000
신정락,18  P,50.2,5.86,4.17,1.5,0.30,10500
김건태,18  P,53.0,5.43,5.89,1.58,0.29,4500
이명우,18  P,44.0,5.32,3.76,1.55,0.27,10500
원종현,18  P,64.1,5.18,5.35,1.55,0.27,18500
오주원,18  P,52.1,6.19,5.16,1.41,0.25,15000
김동준,18  P,47.2,6.04,6.39,1.66,0.24,4900
고우석,18  P,67.0,5.91,6.42,1.58,0.17,4000
이종혁,18  P,48.1,4.66,4.75,1.61,0.16,3200
정영일,18  P,44.0,5.32,6.13,1.57,0.11,3000
김성민,18  P,48.0,6.19,4.91,1.71,-0.01,5500
박정배,18  P,44.2,5.84,5.18,1.41,-0.05,14000
강윤구,18  P,54.2,6.09,5.08,1.46,-0.07,8500
진해수,18  P,43.2,7.21,5.2,1.74,-0.18,19000
유원상,18  P,47.1,6.46,5.39,1.69,-0.29,6000
김진성,17  P,89.2,3.61,4.13,1.1,1.69,18000
김강률,17  P,89.0,3.44,4.18,1.36,1.52,6200
박진형,17  P,88.0,5.11,4.35,1.53,1.50,6000
김성민,17  P,87.2,4.93,5.43,1.64,1.49,2700
김윤동,17  P,80.1,4.59,5.56,1.46,1.45,4700
이상화,17  P,66.0,3.95,3.61,1.27,1.43,4500
장필준,17  P,67.1,4.68,3.47,1.6,1.27,6500
박정배,17  P,68.0,3.57,5.39,1.34,1.13,8000
오주원,17  P,73.2,4.76,4.59,1.51,0.98,12000
원종현,17  P,80.0,4.39,3.61,1.31,0.97,14000
서진용,17  P,46.0,3.91,3.8,1.43,0.95,4000
진해수,17  P,52.2,3.93,4.23,1.27,0.77,11000
조상우,17  P,44.1,4.87,3.59,1.53,0.74,15000
하영민,17  P,45.1,4.76,6.3,1.74,0.71,6000
권오준,17  P,56.0,5.14,5.09,1.27,0.67,10500
김유영,17  P,48.2,4.44,5.04,1.58,0.66,3400
배장호,17  P,66.1,4.34,5.12,1.34,0.56,5400
심재민,17  P,74.2,5.18,5.02,1.57,0.53,5700
심동섭,17  P,50.2,5.68,4.19,1.68,0.51,11000
김승회,17  P,69.0,4.96,4.7,1.49,0.41,10000
이보근,17  P,52.2,5.47,4.49,1.5,0.36,15000
김승현,17  P,43.2,5.77,6.84,1.95,0.25,2900
강윤구,17  P,54.2,4.45,6.4,1.48,0.24,8000
임준혁,17  P,45.1,4.57,5.52,1.83,0.23,10000
류희운,17  P,81.0,7.67,7.58,1.88,0.22,3000
정대현,17  P,66.1,7.06,6.74,1.72,0.11,12000
윤영삼,17  P,49.2,5.62,4.87,1.69,0.10,2900
