이름,연도,이닝,ERA,FIP,WHIP,war,연봉
허프,17  P,124.2,2.38,3.31,0.91,5.02,100000
소사,17  P,185.1,3.88,3.53,1.22,4.99,50000
차우찬,17  P,175.2,3.43,4.12,1.19,4.97,100000
팻딘,17  P,176.0,4.14,4.61,1.42,4.94,70000
최원태,17  P,149.1,4.46,4.57,1.31,4.33,4500
밴헤켄,17  P,138.1,3.77,3.8,1.32,4.26,90000
박종훈,17  P,151.1,4.1,5.44,1.36,4.01,10000
브리검,17  P,144.0,4.38,4.75,1.33,3.79,25000
고영표,17  P,141.2,5.08,3.75,1.31,3.78,5200
로치,17  P,165.0,4.69,5.38,1.58,3.61,65000
다이아몬드,17  P,134.1,4.42,5.1,1.47,3.43,60000
함덕주,17  P,137.1,3.67,3.88,1.4,3.41,7000
유희관,17  P,188.2,4.53,4.9,1.43,3.41,50000
백정현,17  P,100.2,4.38,4.47,1.45,3.28,10000
맨쉽,17  P,112.2,3.67,4.14,1.29,3.08,160000
송승준,17  P,130.1,4.21,4.84,1.33,3.08,40000
신재영,17  P,125.0,4.54,5.03,1.3,2.69,11000
비야누에바,17  P,112.0,4.18,4.74,1.17,2.55,100000
문승원,17  P,155.1,5.33,6.03,1.51,2.48,4400
임찬규,17  P,124.1,4.63,4.78,1.43,2.46,6500
오간도,17  P,110.0,3.93,4.55,1.32,2.41,130000
윤규진,17  P,119.0,5.22,5.4,1.53,1.89,18000
페트릭,17  P,134.0,6.18,5.5,1.69,1.86,45000
김원중,17  P,107.1,5.7,5.53,1.73,1.75,3000
배영수,17  P,128.0,5.06,5.12,1.44,1.70,55000
우규민,17  P,133.0,5.21,4.94,1.38,1.63,70000
한현희,17  P,106.2,4.47,4.9,1.14,1.62,25000
장현식,17  P,134.1,5.29,5.21,1.53,1.51,6400
류제국,17  P,131.1,5.35,4.82,1.48,1.24,35000
윤희상,17  P,120.0,6.0,5.2,1.52,1.17,15000
구창모,17  P,115.0,5.32,4.99,1.63,0.90,5700
이재학,17  P,119.0,5.67,5.36,1.54,0.44,20000
정성곤,17  P,107.2,8.11,6.1,1.78,0.12,3300
헥터,16  P,206.2,3.4,3.82,1.27,8.23,170000
양현종,16  P,200.1,3.68,4.77,1.34,7.13,75000
니퍼트,16  P,167.2,2.95,4.41,1.24,6.26,120000
켈리,16  P,200.1,3.68,4.27,1.32,6.23,75000
장원준,16  P,168.0,3.32,4.76,1.41,5.37,100000
피어밴드,16  P,182.0,4.45,4.75,1.53,5.29,42000
해커,16  P,140.2,3.45,4.21,1.16,4.84,60000
레일리,16  P,184.2,4.34,4.73,1.4,4.79,63000
보우덴,16  P,180.0,3.8,4.18,1.18,4.76,65000
윤성환,16  P,180.0,4.35,5.64,1.35,4.49,80000
유희관,16  P,185.2,4.41,5.35,1.45,4.44,40000
주권,16  P,134.0,5.1,5.44,1.54,4.43,3600
린드블럼,16  P,177.1,5.28,5.54,1.55,3.65,120000
스튜어트,16  P,150.0,4.56,4.45,1.43,3.61,50000
김광현,16  P,137.0,3.88,4.64,1.31,3.59,85000
차우찬,16  P,152.1,4.73,5.01,1.53,3.37,40000
류제국,16  P,161.1,4.3,4.88,1.38,3.35,18000
밴와트,16  P,134.2,5.95,5.61,1.64,3.01,40000
지크,16  P,152.0,5.27,4.93,1.68,2.83,70000
윤희상,16  P,122.2,4.84,5.74,1.52,2.67,12000
소사,16  P,199.0,5.16,4.35,1.49,2.54,50000
이태양,16  P,112.1,4.97,6.29,1.69,2.48,6500
이재학,16  P,127.2,4.58,4.85,1.52,2.31,20000
박세웅,16  P,139.0,5.76,4.82,1.6,2.26,2700
최금강,16  P,108.0,5.0,4.99,1.47,1.57,9200
박종훈,16  P,140.0,5.66,6.35,1.66,1.49,7000
우규민,16  P,132.0,4.91,5.39,1.53,1.20,40000
이민호,16  P,130.2,5.51,5.38,1.64,1.04,13500
송은범,16  P,122.0,6.42,5.14,1.7,0.84,45000
윤규진,16  P,100.1,6.82,6.57,1.78,0.81,17000
정인욱,16  P,111.0,6.81,6.66,1.8,0.42,6000
심수창,16  P,113.1,5.96,5.68,1.73,-0.02,25000
