이름,손잡이,나이,연봉,war
라가레스,우,24,40000,1.84
오태곤,우,21,10500,1.18
최지훈,우,34,15000,6.49
애플러,우,29,27500,2.34
최원태,우,28,31000,2.08
김재웅,좌,33,10400,2.74
김성진,우,30,5000,-0.56
양현,우,36,10000,-0.19
안우진,우,27,15000,8.45
요키시,좌,26,90000,6.25
이승호,좌,33,8500,0.76
김선기,우,33,6300,0.02
김동혁,우,28,6000,0.13
이영준,좌,38,6000,-0.03
윤정현,좌,22,4100,0.12
김재현,우,31,6500,-0.7
이지영,우,34,30000,2.64
김웅빈,우,26,7000,0.74
김혜성,우,24,32000,7.11
신준우,우,34,4000,0.27
김주형,우,27,4500,-0.12
전병우,우,22,7000,0.36
송성문,우,22,7500,2.71
김태진,우,29,10000,0.22
김휘집,우,23,3900,0.03
이용규,좌,30,40000,0.19
박준태,우,36,5000,-0.23
임지열,우,33,3200,0.57
이정후,우,23,75000,8.89
푸이그,우,24,70000,3.52
임찬규,우,26,20000,0.72
최동환,우,24,6000,0.22
정우영,우,32,28000,0.87
고우석,우,25,27000,2.65
진해수,좌,23,30000,1.07
이민호,우,31,10000,0.0
이정용,우,38,14000,0.24
이우찬,좌,32,5000,1.13
김진성,우,28,10000,0.86
배재준,우,22,5000,0.81
플럿코,우,21,50000,5.26
송은범,우,27,15000,0.32
김윤식,좌,21,7000,2.7
백승현,우,22,5000,-0.32
김대유,좌,30,12500,1.25
유강남,우,28,27000,3.07
허도환,우,27,10000,-0.21
이영빈,우,31,5500,0.13
이상호,우,27,8500,-0.13
오지환,우,28,60000,6.99
서건창,우,21,26000,-0.05
김민성,우,22,18000,-0.44
문보경,우,24,6800,4.93
채은성,우,28,28000,2.06
문성주,좌,20,4200,3.62
박해민,우,24,60000,6.52
홍창기,우,21,32000,4.0
이재원,우,30,5200,1.62
신민재,우,22,5000,0.06
고영표,우,25,30000,5.31
김민,우,28,5500,0.18
엄상백,우,30,8000,4.13
배제성,우,29,27000,1.54
김민수,우,34,11500,2.53
소형준,우,31,20000,4.7
전유수,우,34,8000,-0.15
심재민,좌,28,8200,0.33
주권,우,23,29500,1.01
벤자민,좌,21,23100,3.1
김재윤,우,29,28000,1.73
장성우,우,23,50000,3.85
김준태,우,33,6500,1.63
심우준,우,37,26000,1.54
권동진,우,36,4200,0.13
오윤석,우,33,9000,1.78
박경수,우,24,29000,-1.12
신본기,우,34,11500,-0.31
황재균,우,31,40000,1.86
강백호,우,23,55000,-0.12
홍현빈,우,30,4000,0.91
송민섭,우,26,8100,0.01
문상철,우,24,6600,-0.24
알포드,우,23,47700,2.43
이시원,좌,21,3300,-0.16
임기영,우,30,14000,2.51
이준영,좌,28,6700,1.22
한승혁,우,31,5300,0.07
박준표,우,31,12500,-0.28
김재열,우,31,3900,-0.33
놀린,좌,29,35000,4.31
파노니,좌,21,30000,2.63
이의리,좌,28,9000,2.32
김유신,좌,27,3700,-0.1
장현식,우,35,20000,0.76
전상현,우,22,11000,0.96
김기훈,좌,29,4000,0.52
양현종,좌,32,100000,3.07
고영창,우,29,4200,0.2
정해영,우,34,17000,1.17
한승택,우,24,8500,0.24
박동원,우,28,31000,4.21
박찬호,우,20,12000,4.1
김선빈,우,26,45000,3.35
류지혁,우,23,10500,2.19
김규성,우,27,4300,-0.27
최정용,우,25,3800,-0.41
황대인,우,29,6500,-0.1
이우성,우,31,4100,0.14
김호령,우,31,6000,0.22
소크라테스,좌,24,50000,4.54
최형우,우,34,90000,3.3
고종욱,우,31,7000,0.46
이창진,우,35,7000,2.47
송명기,우,38,13000,1.33
김영규,좌,20,9500,1.27
이용찬,우,31,40000,2.24
임정호,좌,30,10500,0.37
하준영,좌,29,4000,0.18
류진욱,우,27,7500,-0.11
원종현,우,29,27000,0.89
더모디,좌,22,18000,0.24
이재학,우,24,18000,1.02
신민혁,우,24,12000,1.89
구창모,좌,29,19000,4.85
김태경,우,36,3300,1.45
양의지,우,26,100000,5.31
박대온,우,23,4000,-1.25
김응민,우,33,4900,-0.48
박민우,우,27,41000,2.72
김주원,우,29,6000,4.29
도태훈,우,38,4000,0.31
윤형준,우,32,4000,-0.24
노진혁,우,33,23000,2.3
마티니,좌,35,44000,2.33
최승민,우,29,3300,-0.44
정진기,우,30,5500,0.13
이명기,좌,23,17500,-0.38
우규민,우,33,20000,0.54
홍정우,우,22,5300,0.61
김대우,우,23,6500,-0.07
원태인,우,23,30000,4.67
이승현,우,28,5500,0.41
김윤수,우,30,6500,0.15
백정현,좌,25,80000,1.75
문용익,우,27,4500,0.4
이재익,좌,30,3700,-0.01
수아레즈,우,23,70000,6.65
이상민,좌,23,5500,0.01
이수민,좌,22,3300,0.02
김태군,우,30,20000,0.91
강민호,우,35,60000,0.51
