이름,연도,이닝,ERA,FIP,WHIP,war,연봉
이충호,22  P,4.2,9.64,8.18,2.57,-0.05,3200
이건욱,22  P,3.0,9.0,10.22,2.0,-0.05,3200
나원탁,22  P,6.0,9.0,6.05,2.33,-0.06,3100
박민호,22  P,22.0,4.09,5.88,1.68,-0.07,12000
윤중현,22  P,53.2,5.03,4.51,1.43,-0.07,6500
김대우,22  P,10.0,4.5,4.26,1.4,-0.07,12000
김건우,22  P,3.0,9.0,11.05,3.0,-0.08,3100
장원준,22  P,17.0,3.71,4.21,1.76,-0.09,5000
윤호솔,22  P,42.1,4.04,4.37,1.68,-0.09,6350
신재영,22  P,4.1,12.46,6.97,2.08,-0.09,4000
진명호,22  P,16.1,6.06,4.92,1.96,-0.09,6500
장재영,22  P,14.0,7.71,3.86,2.14,-0.10,3100
김유신,22  P,14.2,6.14,8.07,1.7,-0.10,3700
양창섭,22  P,20.1,8.41,6.29,1.77,-0.10,4700
미란다,22  P,7.2,8.22,8.86,2.61,-0.11,160000
김지용,22  P,19.1,6.05,6.14,1.24,-0.11,6000
류진욱,22  P,46.1,4.86,4.64,1.71,-0.11,7500
최영환,22  P,2.2,20.25,5.17,3.38,-0.11,4700
강동연,22  P,8.2,10.38,7.1,2.19,-0.11,4200
심창민,22  P,6.1,14.21,6.31,2.53,-0.11,28000
임대한,22  P,13.2,5.27,5.01,1.54,-0.11,4000
김기중,22  P,12.0,6.0,9.18,2.08,-0.12,3900
김도현,22  P,10.2,7.59,5.18,2.06,-0.12,3500
문경찬,22  P,40.1,5.8,4.63,1.59,-0.13,9000
김승현,22  P,4.0,11.25,9.71,2.5,-0.14,5500
김상수,22  P,8.0,9.0,7.76,1.63,-0.15,25000
전유수,22  P,11.0,8.18,5.82,2.0,-0.15,8000
남지민,22  P,89.0,6.37,5.51,1.73,-0.16,3300
문승원,22  P,24.2,5.11,3.83,1.58,-0.16,160000
김태훈,22  P,5.1,10.13,13.59,3.0,-0.16,15000
박주성,22  P,13.0,5.54,8.05,1.38,-0.17,4000
류희운,22  P,11.2,8.49,6.07,1.89,-0.18,3300
조요한,22  P,19.1,6.52,5.8,1.55,-0.19,3300
양현,22  P,36.2,5.15,5.48,1.53,-0.19,10000
하준호,22  P,16.1,8.27,6.17,1.96,-0.19,5000
김현준,22  P,14.2,5.52,3.31,1.64,-0.20,3300
미란다,21  P,173.2,2.33,2.42,1.14,7.49,55000
백정현,21  P,157.2,2.63,4.23,1.24,6.15,25500
원태인,21  P,158.2,3.06,3.65,1.25,6.03,13000
루친스키,21  P,178.2,3.17,3.22,1.2,5.79,130000
뷰캐넌,21  P,177.0,3.1,3.39,1.31,5.69,90000
고영표,21  P,166.2,2.92,3.22,1.04,5.65,12000
켈리,21  P,177.0,3.15,3.76,1.24,5.63,70000
요키시,21  P,181.1,2.93,3.59,1.2,5.58,75000
데스파이네,21  P,188.2,3.39,3.61,1.34,5.24,50000
박세웅,21  P,163.0,3.98,4.51,1.19,5.23,16500
최원준,21  P,158.1,3.3,4.01,1.24,4.88,13000
수아레즈,21  P,115.1,2.18,2.66,1.14,4.52,40000
로켓,21  P,124.0,2.98,3.34,1.4,4.49,49300
파슨스,21  P,133.0,3.72,3.51,1.29,4.39,32000
스트레일리,21  P,165.2,4.07,3.54,1.38,4.37,90000
킹험,21  P,144.0,3.19,3.39,1.1,4.20,25000
폰트,21  P,145.2,3.46,3.12,1.09,4.09,85000
김민우,21  P,155.1,4.0,4.56,1.33,3.90,9000
