이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
나주환,19  2B,1.23,245,3,0.222,0.27,0.302,0.92,32000
신본기,19  SS,0.55,413,1,0.256,0.314,0.288,0.9,16000
윌슨,19  3B,-0.45,268,9,0.251,0.351,0.433,0.82,90000
최주환,19  2B,-0.3,325,4,0.277,0.332,0.365,0.79,38500
이재원,19  C,-1.21,502,12,0.268,0.327,0.39,0.74,35000
이지영,19  C,0.34,331,1,0.282,0.317,0.315,0.73,21000
김용의,19  1B,0.49,210,0,0.218,0.316,0.279,0.72,8500
김규민,19  LF,0.03,250,3,0.248,0.324,0.333,0.69,5800
지성준,19  C,0.41,109,2,0.25,0.284,0.365,0.68,5700
황윤호,19  2B,0.14,130,1,0.301,0.326,0.398,0.68,4000
김인태,19  LF,0.21,70,2,0.233,0.319,0.4,0.67,4000
송광민,19  3B,-0.15,486,7,0.264,0.298,0.357,0.67,25000
박용택,19  DH,-0.24,215,1,0.282,0.34,0.344,0.66,80000
조용호,19  RF,0.03,211,0,0.293,0.364,0.356,0.65,4000
이흥련,19  C,0.35,44,0,0.31,0.341,0.405,0.6,7500
박승욱,19  1B,0.58,245,3,0.233,0.285,0.323,0.59,6600
스몰린스키,19  RF,-0.34,228,9,0.229,0.298,0.439,0.59,25000
백용환,19  C,0.45,51,2,0.234,0.294,0.404,0.59,4500
한승택,19  C,0.72,288,3,0.223,0.299,0.303,0.59,6000
박계범,19  SS,-0.39,204,4,0.256,0.354,0.387,0.55,3000
지석훈,19  3B,0.22,169,2,0.228,0.299,0.329,0.49,15000
백동훈,19  RF,0.67,52,0,0.17,0.25,0.213,0.49,3400
김재현,19  CF,0.19,49,0,0.286,0.348,0.381,0.4,4500
배정대,19  CF,0.69,84,0,0.203,0.28,0.257,0.37,3800
오선진,19  SS,-0.02,453,3,0.224,0.307,0.288,0.37,7500
김동한,19  2B,0.15,85,0,0.282,0.333,0.333,0.37,5000
김태군,19  C,0.28,28,0,0.182,0.357,0.182,0.37,23000
최진행,19  LF,-0.1,129,6,0.231,0.295,0.436,0.36,20000
김주찬,19  1B,-1.13,363,3,0.3,0.34,0.374,0.32,40000
신성현,19  1B,0.13,54,1,0.195,0.352,0.268,0.31,5000
신범수,19  C,0.09,65,2,0.211,0.308,0.404,0.3,3200
장승현,19  C,0.51,46,0,0.171,0.239,0.22,0.29,3000
강승호,19  SS,0.5,42,2,0.154,0.195,0.308,0.28,9600
이성우,19  C,0.67,74,0,0.156,0.239,0.203,0.26,7000
최선호,19  LF,0.23,8,0,0.167,0.375,0.167,0.24,4300
최항,19  2B,0.08,147,0,0.228,0.322,0.268,0.21,4200
강경학,19  SS,-0.11,135,0,0.239,0.341,0.274,0.21,8800
장진혁,19  CF,-0.77,349,1,0.254,0.32,0.346,0.2,3800
김회성,19  1B,0.03,117,3,0.231,0.302,0.356,0.2,6500
정범모,19  C,0.2,45,2,0.225,0.279,0.4,0.18,6800
이대형,19  CF,0.21,19,0,0.143,0.316,0.214,0.17,20000
이동훈,19  CF,0.14,31,0,0.29,0.29,0.323,0.17,3500
나경민,19  CF,0.39,49,0,0.2,0.265,0.289,0.17,5500
김진곤,19  CF,0.23,34,0,0.267,0.313,0.333,0.16,3300
최승민,19  LF,-0.07,10,0,0.444,0.5,0.556,0.15,2700
하주석,19  SS,0.01,20,0,0.263,0.263,0.368,0.15,18000
최준우,19  2B,0.2,36,0,0.212,0.278,0.273,0.15,2900
강진성,19  LF,-0.44,104,2,0.247,0.298,0.371,0.14,3200
정병곤,19  2B,0.12,31,0,0.185,0.29,0.222,0.12,4000
박한이,19  RF,-0.09,85,2,0.257,0.333,0.378,0.11,25000
홍창기,19  RF,0.05,26,0,0.25,0.308,0.333,0.11,3500
문규현,19  SS,0.4,72,0,0.25,0.271,0.281,0.1,18000
김형준,19  C,0.22,119,2,0.224,0.278,0.327,0.1,3200
이원재,19  1B,-0.52,285,8,0.258,0.311,0.395,0.1,5000
이성규,19  SS,-0.19,46,2,0.256,0.304,0.442,0.09,3300
채현우,19  LF,0.01,1,0,0.0,0.0,0.0,0.09,2700
김태연,19  3B,0.02,6,0,0.25,0.5,0.5,0.09,3200
이준수,19  C,0.07,49,0,0.194,0.37,0.222,0.08,3100
최민재,19  LF,0.13,2,0,0.0,0.0,0.0,0.07,2800
박정음,19  LF,0.19,88,0,0.197,0.345,0.254,0.07,4500
김병희,19  3B,0.08,7,0,0.143,0.143,0.143,0.07,2800
김성훈,19  2B,0.43,88,1,0.182,0.25,0.26,0.07,7000
채태인,19  1B,-0.22,182,5,0.251,0.302,0.407,0.05,20000
이원석,19  CF,0.14,9,0,0.0,0.333,0.0,0.05,30000
해즐베이커,19  CF,0.04,46,2,0.146,0.239,0.341,0.05,50000
김사훈,19  C,0.06,1,0,0.0,0.0,0.0,0.04,3900
서상우,19  LF,-0.11,24,0,0.238,0.333,0.286,0.04,5300
허정협,19  LF,0.04,77,0,0.235,0.312,0.25,0.03,4000
최정용,19  2B,0.05,21,0,0.286,0.286,0.286,0.03,3600
홍재호,19  SS,0.13,20,0,0.211,0.25,0.211,0.02,4000
윤해진,19  2B,0.01,3,0,0.0,0.0,0.0,0.02,3900
이범호,19  3B,0.02,31,1,0.231,0.29,0.385,0.02,65000
황진수,19  3B,0.06,4,0,0.0,0.25,0.0,0.01,4000
김종민,19  C,0.15,21,1,0.2,0.2,0.35,0.01,5300
김호재,19  2B,0.25,33,0,0.219,0.242,0.25,0.01,3000
김재성,19  C,0.01,7,0,0.2,0.429,0.2,0.01,2900
김성현,19  SS,-0.31,472,1,0.246,0.302,0.3,0.0,25000
오준혁,19  LF,0.01,1,0,0.0,0.0,0.0,-0.01,4200
송성문,19  3B,0.11,335,3,0.227,0.269,0.328,-0.01,7500
정성종,19  P,0.01,1,0,0.0,0.0,0.0,-0.02,3700
주효상,19  C,0.03,30,0,0.207,0.233,0.345,-0.02,4500
김성민,19  1B,0.0,4,0,0.25,0.25,0.25,-0.02,2700
김재윤,19  P,0.01,1,0,0.0,0.0,0.0,-0.02,10000
허일,19  CF,-0.15,162,1,0.255,0.315,0.302,-0.02,3000
김재현,19  SS,0.04,2,0,0.0,0.0,0.0,-0.02,4500
김창혁,19  C,0.04,2,0,0.0,0.0,0.0,-0.02,3000
문경찬,19  P,0.01,1,0,0.0,0.0,0.0,-0.02,5500
이인행,19  RF,-0.02,20,0,0.188,0.316,0.25,-0.03,3300
박지규,19  2B,-0.13,18,0,0.091,0.412,0.091,-0.04,4500
김주형,19  2B,-0.03,1,0,0.0,0.0,0.0,-0.04,4500
이유찬,19  2B,-0.08,13,0,0.231,0.231,0.231,-0.05,2900
박유연,19  C,-0.02,1,0,0.0,0.0,0.0,-0.05,2800
임병욱,19  CF,-0.61,419,0,0.243,0.305,0.314,-0.06,10000
장운호,19  CF,-0.05,12,0,0.1,0.182,0.1,-0.06,4800
최영진,19  3B,-0.4,275,5,0.251,0.296,0.378,-0.07,5300
박준혁,19  LF,-0.01,2,0,0.0,0.0,0.0,-0.08,3000
김응민,19  C,-0.02,13,0,0.231,0.231,0.308,-0.09,2900
정근우,19  CF,-0.99,305,3,0.278,0.334,0.354,-0.1,70000
박헌욱,19  RF,0.0,9,0,0.111,0.111,0.222,-0.1,3000
김지수,19  SS,-0.04,32,0,0.267,0.313,0.333,-0.12,5000
문상철,19  1B,-0.04,68,2,0.2,0.265,0.317,-0.12,3100
배영섭,19  LF,0.01,80,0,0.225,0.3,0.239,-0.12,13000
최정민,19  2B,0.05,5,0,0.0,0.0,0.0,-0.12,4500
이현동,19  LF,-0.08,2,0,0.0,0.0,0.0,-0.12,2900
서예일,19  SS,-0.06,3,0,0.0,0.0,0.0,-0.13,3100
오영수,19  3B,0.01,8,0,0.125,0.125,0.125,-0.13,3000
최승준,19  1B,-0.06,24,0,0.227,0.292,0.227,-0.13,5000
송준석,19  LF,-0.23,56,1,0.235,0.273,0.353,-0.13,2900
김인환,19  1B,0.14,46,0,0.214,0.239,0.238,-0.15,3000
이성곤,19  1B,0.09,28,0,0.179,0.179,0.286,-0.15,3200
김재율,19  3B,0.01,9,0,0.111,0.111,0.111,-0.15,4800
최윤석,19  SS,-0.25,15,0,0.25,0.4,0.25,-0.15,4200
박정권,19  1B,-0.11,37,1,0.188,0.297,0.313,-0.15,40000
이병규,19  LF,-0.06,22,0,0.158,0.273,0.263,-0.16,9500
김은성,19  2B,-0.13,10,0,0.125,0.3,0.125,-0.16,2700
유재신,19  LF,-0.2,59,0,0.255,0.328,0.333,-0.17,5700
고명성,19  2B,-0.03,18,0,0.125,0.222,0.125,-0.17,2800
문선재,19  LF,-0.3,61,3,0.163,0.295,0.347,-0.17,6500
김준완,19  RF,-0.18,19,0,0.25,0.316,0.25,-0.17,8000
김웅빈,19  3B,-0.19,11,0,0.273,0.273,0.364,-0.19,3700
류승현,19  1B,-0.33,163,0,0.253,0.313,0.32,-0.19,3600
남태혁,19  1B,-0.13,24,0,0.227,0.292,0.227,-0.19,3300
국해성,19  LF,-0.17,41,0,0.171,0.293,0.257,-0.2,5000
정훈,19  1B,-0.28,222,2,0.226,0.324,0.289,-0.2,8000
황대인,19  3B,-0.06,28,0,0.2,0.286,0.28,-0.21,3200
박찬도,19  RF,-0.08,34,0,0.281,0.324,0.313,-0.21,5500
정진기,19  RF,-0.05,17,0,0.188,0.235,0.188,-0.22,8200
윌리엄슨,19  RF,-0.82,168,4,0.273,0.327,0.409,-0.23,22500
이우성,19  LF,-0.37,168,6,0.219,0.281,0.364,-0.26,4000
김영환,19  2B,-0.06,15,0,0.071,0.133,0.071,-0.3,3000
백진우,19  LF,-0.26,48,0,0.227,0.261,0.295,-0.31,6000
나지완,19  DH,-0.67,153,6,0.186,0.301,0.364,-0.31,60000
정현,19  SS,0.11,45,0,0.079,0.2,0.079,-0.31,5300
양의지,18  C,1.63,503,23,0.358,0.427,0.585,7.93,60000
박병호,18  1B,-0.5,488,43,0.345,0.457,0.718,7.38,150000
최주환,18  2B,0.01,590,26,0.333,0.397,0.582,7.07,20000
로하스,18  CF,0.59,645,43,0.305,0.388,0.59,6.85,80000
김재환,18  LF,-1.32,602,44,0.334,0.405,0.657,6.84,47000
손아섭,18  RF,0.61,625,26,0.329,0.404,0.546,6.33,150000
로맥,18  1B,0.18,616,43,0.316,0.404,0.597,5.94,50000
호잉,18  RF,1.42,590,30,0.306,0.369,0.573,5.69,40000
전준우,18  LF,-0.08,614,33,0.342,0.4,0.592,5.48,27000
나성범,18  RF,0.6,620,23,0.318,0.381,0.518,5.18,43000
김현수,18  LF,-0.88,511,20,0.362,0.415,0.589,5.17,140000
김하성,18  SS,1.97,576,20,0.288,0.358,0.474,5.13,32000
안치홍,18  2B,0.11,549,23,0.342,0.392,0.563,5.01,32000
오지환,18  SS,2.54,617,11,0.278,0.354,0.396,4.97,29000
러프,18  1B,-1.15,597,33,0.33,0.419,0.605,4.77,140000
오재일,18  1B,0.37,477,27,0.279,0.373,0.539,4.74,30000
이정후,18  CF,0.05,520,6,0.355,0.412,0.477,4.54,11000
오재원,18  2B,1.13,521,15,0.313,0.369,0.463,4.51,55000
이대호,18  DH,-1.42,604,37,0.333,0.394,0.593,4.27,250000
김재호,18  SS,0.88,467,16,0.311,0.39,0.48,4.26,65000
허경민,18  3B,0.71,577,10,0.324,0.376,0.459,4.23,26500
한동민,18  RF,-0.14,562,41,0.284,0.367,0.601,4.17,15000
민병헌,18  CF,0.97,494,17,0.318,0.374,0.481,4.16,100000
유강남,18  C,1.03,465,19,0.296,0.352,0.508,4.15,18500
최형우,18  LF,-1.65,609,25,0.339,0.414,0.549,4.1,150000
최정,18  3B,0.56,489,35,0.244,0.368,0.547,3.73,120000
황재균,18  3B,0.08,588,25,0.296,0.358,0.526,3.59,120000
박해민,18  CF,0.84,649,9,0.299,0.36,0.432,3.44,29000
구자욱,18  RF,-0.72,529,20,0.333,0.392,0.533,3.31,25000
박건우,18  CF,-0.17,529,12,0.326,0.373,0.473,3.25,37000
박민우,18  2B,0.41,460,5,0.324,0.383,0.438,3.17,32000
이형종,18  LF,-0.39,485,13,0.316,0.377,0.467,3.09,10500
류지혁,18  SS,2.1,280,1,0.268,0.372,0.311,3.09,9500
노수광,18  RF,-0.03,588,8,0.313,0.383,0.431,3.0,13000
이명기,18  RF,1.07,502,4,0.302,0.363,0.418,2.83,25000
번즈,18  2B,0.67,505,23,0.268,0.329,0.513,2.79,73000
송성문,18  3B,0.98,238,7,0.313,0.381,0.502,2.73,3500
이성열,18  DH,-0.89,528,34,0.295,0.347,0.553,2.69,25000
채은성,18  RF,-2.43,578,25,0.331,0.379,0.548,2.67,11000
유한준,18  RF,-1.45,480,20,0.339,0.406,0.533,2.66,60000
나지완,18  DH,-0.52,379,26,0.271,0.377,0.574,2.65,60000
박경수,18  2B,-0.01,528,25,0.262,0.354,0.472,2.48,23000
버나디나,18  CF,-1.5,590,20,0.31,0.395,0.487,2.48,75000
김민성,18  3B,0.84,465,10,0.283,0.351,0.414,2.41,35000
이원석,18  3B,-0.98,543,20,0.301,0.374,0.493,2.39,30000
강민호,18  C,0.85,477,22,0.269,0.331,0.457,2.29,125000
강경학,18  SS,0.88,289,5,0.278,0.382,0.392,2.28,5800
